id,trigger,conditions,script,text,options,notes
#RULESET_NAME FM,,,,,,
,,,,,,
# greetings,,,,,,
greetingFMFriendly,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Would you also like to enter the Gensoukyou in the afterlife?""
OR
""A future in which humanity lives in harmony with the mystery is on the horizon, and you and I are privileged to be among her first beneficiaries.""
OR
""Hi my friend, please allow me to introduce you to this..."" $personNameStart to settle on you for what looks like a fun retro shooting game.
OR
""If you have a problem with shipboard audio... Sorry, all I can say is that it's regulation.""",,
greetingFMHostileWeaker,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""I'm ready to a runaway daze!, but I don't think you'll be able to escape the next chase..."" $personName isn't as panicked as you might expect, the individual has already prepared an escape plan.
OR
""So you're the one behind this?""$personRank With a sigh of frustration, he cut the link.
OR
""Wait, are you serious?""",cutCommLink:Cut off the communication,
greetingFMHostileWeakerDefiant,OpenCommLink,"$faction.id ==  fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""Even if the end result is full of pain no matter what, I will fight until the end!""It seems that$personRankand does not intend to be tied down.
OR
""Miracles belong only to those who believe!""$personNameThe firm voice of the man came out of the message video.",cutCommLink:Cut off the communication,
greetingFMHostileStronger,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""We respect our opponents, so I'm not surprised you'd open the link to see who would actually send you to Yama(Hell)""
OR
""its game over!""$personRank Looking at you smugly.
OR
""I think you may be ready for the afterlife sooner rather than later, so may you enter into Gensoukyou in the afterlife.""Sincere wishes are sent to you from the other side.
",cutCommLink:Cut off the communication,
greetingFMNeutral,OpenCommLink,"$faction.id == fantasy_manufacturing
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""The Sage is above you, what can I do for you?""
OR
""It may look like a giant corporation in name, but in reality we're not all that fancy Bourgeois...""$personName Seeing your long-standing doubts, an answer come.
OR
""Opened the newsletter link... I think you must be no ordinary person...""
OR
""Even in the Persean Realm, don't always be bound by common sense.""",,
#END greetings,,,,,,
,,,,,,
# factions,,,,,,
